campaign_id,campaign_name,channel,campaign_objective,start_date,end_date,spend,impressions,clicks,target_audience,country,device_type,conversions,revenue_attributed,roi,roas,ctr,cpc,cpa,conversion_rate,revenue_per_click,campaign_profit,budget_efficiency_score
CMP-008,Google Search | Back to Work | 008,Google Search,High-intent acquisition,2024-07-11,2024-08-02,63052.28,1202222,57153,VIP customers,France,Tablet,82,7372.45,-0.8830740141355714,0.11692598586442869,0.047539472742970934,1.103219078613546,768.930243902439,0.0014347453327034452,0.12899497839133553,-55679.83,0.0
CMP-101,Display Ads | Spring Edit | 101,Display Ads,Awareness and remarketing,2025-09-29,2025-11-02,49232.69,8407670,100046,VIP customers,Poland,Desktop,92,7385.29,-0.8499921495250412,0.1500078504749588,0.011899372834566532,0.492100533754473,535.1379347826087,0.0009195769945824921,0.0738189432860884,-41847.4,6.2
CMP-102,Google Search | Back to Work | 102,Google Search,High-intent acquisition,2025-03-15,2025-05-09,23202.53,398633,17225,Premium shoppers,Netherlands,Tablet,48,3771.19,-0.837466431462431,0.16253356853756898,0.0432101707585674,1.3470264150943396,483.38604166666664,0.002786647314949202,0.21893701015965167,-19431.34,7.5
CMP-052,Display Ads | Beauty Boost | 052,Display Ads,Awareness and remarketing,2024-12-09,2025-01-24,48713.4,5772079,70406,Discount-sensitive customers,France,Desktop,99,8279.75,-0.8300313671392265,0.1699686328607734,0.012197684751022985,0.6918927364145101,492.05454545454546,0.0014061301593614182,0.11760006249467375,-40433.65,7.3
CMP-021,Display Ads | Spring Edit | 021,Display Ads,Awareness and remarketing,2024-06-12,2024-08-27,33027.88,6374118,61862,VIP customers,France,Desktop,70,5970.02,-0.8192430152949568,0.18075698470504317,0.009705185878265825,0.5338960912999903,471.8268571428571,0.001131550871294171,0.09650544760919466,-27057.859999999997,7.9
CMP-020,Display Ads | Beauty Boost | 020,Display Ads,Awareness and remarketing,2024-04-18,2024-06-19,72249.3,15672422,138528,New shoppers,Germany,Desktop,198,16675.17,-0.7691995631791588,0.23080043682084114,0.008838965668484425,0.521550155925156,364.8954545454546,0.0014293139293139294,0.1203740038115038,-55574.130000000005,10.8
CMP-079,Display Ads | Back to Work | 079,Display Ads,Awareness and remarketing,2025-05-24,2025-07-19,44246.46,9623941,68678,New shoppers,UK,Mobile,128,10275.05,-0.7677769023781791,0.23222309762182103,0.007136161786527993,0.644259588223303,345.67546875,0.0018637700573691722,0.1496119572497743,-33971.41,11.3
CMP-097,Display Ads | Holiday Drop | 097,Display Ads,Awareness and remarketing,2025-04-01,2025-06-21,64693.46,8284820,124963,New shoppers,Poland,Mobile,173,15215.2,-0.7648108479589745,0.2351891520410255,0.015083369342967017,0.5177009194721638,373.9506358381503,0.0013844097852964477,0.12175764026151742,-49478.259999999995,10.5
CMP-111,TikTok Ads | Beauty Boost | 111,TikTok Ads,New customer acquisition,2025-03-07,2025-04-10,51544.16,4322056,74185,New shoppers,Poland,Mobile,152,12164.79,-0.7639928558346862,0.2360071441653138,0.01716428477557903,0.694805688481499,339.1063157894737,0.0020489317247421985,0.16397910628833323,-39379.37,11.5
CMP-060,TikTok Ads | Sneaker Week | 060,TikTok Ads,New customer acquisition,2024-12-29,2025-03-05,38808.13,1229320,61466,Discount-sensitive customers,UK,Desktop,116,9310.31,-0.760093825700955,0.23990617429904507,0.05,0.6313755572186249,334.55284482758617,0.0018872222041453812,0.15147089447824813,-29497.82,11.6
CMP-059,Affiliate | Back to Work | 059,Affiliate,Partner-led acquisition,2024-05-05,2024-06-15,22235.33,1183632,25594,Returning customers,Netherlands,Mobile,63,5626.49,-0.7469572072912793,0.2530427927087207,0.021623274801627533,0.8687711963741502,352.94174603174605,0.002461514417441588,0.21983628975541142,-16608.840000000004,11.1
CMP-061,Display Ads | Back to Work | 061,Display Ads,Awareness and remarketing,2024-08-04,2024-09-27,63043.15,7102343,83892,Discount-sensitive customers,Netherlands,Mobile,205,16578.78,-0.7370248789916113,0.26297512100838866,0.011811876728566897,0.7514798788919087,307.5275609756098,0.00244361798502837,0.19762051208696896,-46464.37,12.3
CMP-040,TikTok Ads | Sneaker Week | 040,TikTok Ads,New customer acquisition,2024-10-08,2024-11-18,30341.92,1089300,54465,Young fashion buyers,Germany,Tablet,104,8337.03,-0.7252306380084056,0.2747693619915945,0.05,0.5570902414394565,291.74923076923073,0.0019094831543192876,0.15307133021206282,-22004.89,12.8
CMP-026,Meta Ads | Spring Edit | 026,Meta Ads,Prospecting and retargeting,2024-05-28,2024-07-05,56273.96,1993373,61905,Premium shoppers,Germany,Desktop,193,16134.86,-0.7132801743470693,0.2867198256529308,0.031055402074774766,0.9090373960100153,291.57492227979276,0.003117680316614167,0.2606390436959858,-40139.1,12.8
CMP-107,Meta Ads | Back to Work | 107,Meta Ads,Prospecting and retargeting,2025-07-27,2025-10-05,73080.08,1732512,68314,Returning customers,Germany,Tablet,281,22928.34,-0.6862573221047378,0.3137426778952623,0.03943060711844997,1.069767251222297,260.0714590747331,0.004113358901542875,0.3356316421231373,-50151.740000000005,13.7
