campaign_id,campaign_name,channel,campaign_objective,start_date,end_date,spend,impressions,clicks,target_audience,country,device_type,conversions,revenue_attributed,roi,roas,ctr,cpc,cpa,conversion_rate,revenue_per_click,campaign_profit,budget_efficiency_score
CMP-001,Google Search | Back to Work | 001,Google Search,High-intent acquisition,2024-11-25,2025-02-08,49222.74,792835,38611,New shoppers,Germany,Desktop,318,29209.0,-0.4065954069196473,0.5934045930803528,0.048699918646376614,1.2748372225531583,154.78849056603772,0.0082359949237264,0.756494263292844,-20013.739999999998,17.0
CMP-002,TikTok Ads | Holiday Drop | 002,TikTok Ads,New customer acquisition,2025-03-30,2025-05-22,18450.87,566440,28322,VIP customers,UK,Mobile,111,8517.33,-0.5383778651087997,0.4616221348912003,0.05,0.6514677635760187,166.22405405405405,0.003919214744721418,0.30073193983475743,-9933.539999999999,16.4
CMP-003,TikTok Ads | Back to Work | 003,TikTok Ads,New customer acquisition,2025-03-22,2025-05-26,26472.5,1445622,55072,Premium shoppers,Italy,Mobile,200,16534.6,-0.37540466521862315,0.6245953347813769,0.038095712433817416,0.48068891632771643,132.3625,0.003631609529343405,0.3002360546194073,-9937.900000000001,17.6
CMP-004,Affiliate | Spring Edit | 004,Affiliate,Partner-led acquisition,2025-05-14,2025-08-10,30026.27,1164513,36815,New shoppers,Netherlands,Mobile,120,9646.51,-0.6787309912286809,0.32126900877131925,0.031614073866071055,0.8155988048349857,250.21891666666667,0.003259540947983159,0.26202661958440854,-20379.760000000002,13.9
CMP-005,Meta Ads | Spring Edit | 005,Meta Ads,Prospecting and retargeting,2025-04-04,2025-05-09,40357.4,1416178,45530,Young fashion buyers,Italy,Mobile,466,39998.38,-0.008896014113892473,0.9911039858861075,0.03214991335834902,0.8863913902921151,86.60386266094422,0.010235009883593235,0.8785060399736437,-359.0200000000041,19.6
CMP-006,Affiliate | Beauty Boost | 006,Affiliate,Partner-led acquisition,2024-07-20,2024-09-22,24770.65,1159768,35952,New shoppers,France,Mobile,539,48310.87,0.9503271008229497,1.9503271008229497,0.03099930330893765,0.6889922674677348,45.95667903525047,0.01499221183800623,1.3437602914997775,23540.22,22.6
CMP-007,Email | VIP Retention | 007,Email,Retention and lifecycle marketing,2025-03-07,2025-04-07,1954.84,414500,20725,Discount-sensitive customers,UK,Mobile,287,24855.0,11.714595567923718,12.714595567923718,0.05,0.09432279855247286,6.811289198606271,0.013848009650180942,1.1992762364294332,22900.16,45.6
CMP-008,Google Search | Back to Work | 008,Google Search,High-intent acquisition,2024-07-11,2024-08-02,63052.28,1202222,57153,VIP customers,France,Tablet,82,7372.45,-0.8830740141355714,0.11692598586442869,0.047539472742970934,1.103219078613546,768.930243902439,0.0014347453327034452,0.12899497839133553,-55679.83,0.0
CMP-009,Google Search | Beauty Boost | 009,Google Search,High-intent acquisition,2024-04-15,2024-06-15,40254.0,740488,28446,VIP customers,Germany,Desktop,279,21978.39,-0.4540073036220003,0.5459926963779997,0.03841520726872009,1.4151022990930184,144.27956989247312,0.009808057371862477,0.7726355199325037,-18275.61,17.2
CMP-010,TikTok Ads | Spring Edit | 010,TikTok Ads,New customer acquisition,2024-01-07,2024-03-30,17609.96,953365,33299,Returning customers,Italy,Desktop,79,5840.53,-0.6683393942973181,0.3316606057026819,0.034927860787840964,0.5288435088140785,222.91088607594935,0.002372443616925433,0.17539655845520885,-11769.43,14.7
CMP-011,Email | Summer Sale | 011,Email,Retention and lifecycle marketing,2025-09-05,2025-11-18,1986.51,363760,18188,Discount-sensitive customers,UK,Desktop,154,13617.64,5.855057361906056,6.855057361906056,0.05,0.10922091488893776,12.899415584415584,0.008467121178799207,0.7487156366835276,11631.13,33.5
CMP-012,Affiliate | VIP Retention | 012,Affiliate,Partner-led acquisition,2024-10-27,2025-01-12,17562.75,514088,20889,Returning customers,Poland,Mobile,92,7359.7,-0.5809483139030049,0.41905168609699506,0.040633121177697205,0.8407654746517306,190.89945652173913,0.004404231892383551,0.35232418976494806,-10203.05,15.7
CMP-013,Affiliate | Beauty Boost | 013,Affiliate,Partner-led acquisition,2024-12-14,2025-01-07,20747.62,955168,37424,Premium shoppers,Netherlands,Mobile,171,13278.3,-0.3600085214593288,0.6399914785406712,0.03918054206171061,0.5543934373663959,121.3311111111111,0.004569260367678495,0.35480707567336467,-7469.32,18.0
