customer_id,age_group,gender,country,customer_type,acquisition_channel,signup_date,product_category_preference,device_type,latent_business_profile,last_purchase_date,first_purchase_date,number_of_orders,total_spend,total_profit,net_revenue_after_returns,return_count,discounted_orders,total_discount_amount,average_order_value,days_since_last_purchase,customer_lifetime_value,return_rate,discount_dependency,repeat_purchase_flag,high_value_customer_flag,purchase_frequency,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment,churn_risk_score,churn_risk_label
CUS-09033,25-34,Female,Italy,Returning,Meta Ads,2023-01-27,Shoes,Desktop,At Risk,2024-02-19,2023-03-25,2,342.96,93.03999999999999,181.29,1,2,101.69,171.48,682,342.96,0.5,0.22869672776340944,1,0,0.6827102803738317,682,2,342.96,1,2,3,123,Hibernating,100,High risk
CUS-05331,35-44,Male,France,Returning,Google Search,2023-04-06,Jeans,Mobile,At Risk,2024-12-09,2024-02-17,3,326.26,66.47,235.76,1,3,85.07,108.75333333333333,388,326.26,0.3333333333333333,0.20681691099603725,1,0,1.0946553446553446,388,3,326.26,2,2,3,223,Hibernating,100,High risk
CUS-02550,35-44,Female,Italy,Returning,Organic Search,2023-02-08,Dresses,Mobile,At Risk,2024-04-02,2023-06-08,2,275.65000000000003,65.0,52.85,1,2,76.54,137.82500000000002,639,275.65000000000003,0.5,0.21732587523779776,1,0,0.6904536862003781,639,2,275.65000000000003,1,1,3,113,Hibernating,100,High risk
CUS-07449,18-24,Male,UK,Returning,Google Search,2023-12-16,Dresses,Tablet,Discount Seekers,2025-03-04,2024-03-31,2,266.2,68.04,0.0,2,2,74.48,133.1,303,266.2,1.0,0.21862158036867443,1,0,0.9779116465863454,303,2,266.2,2,2,3,223,Hibernating,100,High risk
CUS-05569,18-24,Male,Italy,Returning,Organic Search,2024-01-25,Dresses,Mobile,At Risk,2024-10-07,2024-04-03,2,256.12,65.73,48.78,1,2,65.7,128.06,451,256.12,0.5,0.20415138897520355,1,0,1.0332390381895333,451,2,256.12,1,2,3,123,Hibernating,100,High risk
CUS-09557,25-34,Female,Germany,Returning,Affiliate,2023-03-28,Shoes,Desktop,At Risk,2024-04-29,2023-09-23,3,254.36,60.17999999999999,174.45999999999998,1,3,69.38,84.78666666666668,612,254.36,0.3333333333333333,0.21430777784641994,1,0,1.0849009900990099,612,3,254.36,1,3,3,133,At Risk,100,High risk
CUS-03675,18-24,Female,France,Returning,Google Search,2023-04-29,Shoes,Tablet,Hibernating,2023-12-04,2023-06-01,3,249.15,51.72,119.34,1,3,74.27,83.05,759,249.15,0.3333333333333333,0.22963947807804092,1,0,1.1203987730061349,759,3,249.15,1,2,3,123,Hibernating,100,High risk
CUS-04553,25-34,Male,Spain,Returning,TikTok Ads,2023-08-09,Dresses,Mobile,At Risk,2023-10-30,2023-09-27,2,228.1,65.06,143.88,1,2,61.0,114.05,794,228.1,0.5,0.21099965409892768,1,0,0.833904109589041,794,2,228.1,1,1,2,112,Hibernating,100,High risk
CUS-01396,35-44,Female,Netherlands,Returning,Organic Search,2023-03-21,Bags,Mobile,At Risk,2024-01-21,2023-08-27,3,219.98,56.95,128.13,1,3,58.9,73.32666666666667,711,219.98,0.3333333333333333,0.21120195065978198,1,0,1.077433628318584,711,3,219.98,1,2,2,122,Hibernating,100,High risk
CUS-04253,25-34,Female,France,Returning,Google Search,2023-01-11,Jeans,Mobile,At Risk,2023-06-19,2023-01-31,3,203.23,34.120000000000005,137.26999999999998,1,3,56.17,67.74333333333333,927,203.23,0.3333333333333333,0.21653816499614498,1,0,1.0089779005524862,927,3,203.23,1,2,2,122,Hibernating,100,High risk
CUS-02505,18-24,Female,UK,Returning,Email,2023-09-18,Jeans,Mobile,Hibernating,2024-03-17,2024-01-28,2,199.02,41.66,108.48,1,2,52.55,99.51,655,199.02,0.5,0.2088881822156855,1,0,0.8738038277511961,655,2,199.02,1,1,2,112,Hibernating,100,High risk
CUS-02628,35-44,Female,Spain,Returning,Display Ads,2023-04-06,Bags,Mobile,At Risk,2023-12-21,2023-07-07,3,190.87,56.35,121.18,1,3,54.38,63.623333333333335,742,190.87,0.3333333333333333,0.2217329255861366,1,0,1.0946553446553446,742,3,190.87,1,2,2,122,Hibernating,100,High risk
CUS-00848,35-44,Female,Germany,Returning,Google Search,2024-07-06,Shoes,Mobile,Hibernating,2024-08-06,2024-08-06,1,189.51,39.81,0.0,1,1,62.89,189.51,513,189.51,1.0,0.24916798732171158,0,0,0.6714154411764706,513,1,189.51,1,1,2,112,Hibernating,100,High risk
CUS-06523,25-34,Female,Italy,Returning,Meta Ads,2024-03-30,Shoes,Mobile,Hibernating,2024-11-02,2024-05-12,2,166.47,27.67,108.76,1,2,49.21,83.235,425,166.47,0.5,0.22816209198813056,1,0,1.1378504672897196,425,2,166.47,1,2,2,122,Hibernating,100,High risk
CUS-09683,45-54,Female,France,Returning,Meta Ads,2023-09-27,Shoes,Tablet,Hibernating,2024-10-24,2024-04-13,2,166.22,37.760000000000005,72.03,1,2,43.67,83.11,434,166.22,0.5,0.20806136547715473,1,0,0.8833131801692866,434,2,166.22,1,2,2,122,Hibernating,100,High risk
