customer_id,age_group,gender,country,customer_type,acquisition_channel,signup_date,product_category_preference,device_type,latent_business_profile,last_purchase_date,first_purchase_date,number_of_orders,total_spend,total_profit,net_revenue_after_returns,return_count,discounted_orders,total_discount_amount,average_order_value,days_since_last_purchase,customer_lifetime_value,return_rate,discount_dependency,repeat_purchase_flag,high_value_customer_flag,purchase_frequency,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment,churn_risk_score,churn_risk_label
CUS-00001,25-34,Female,Germany,Returning,Meta Ads,2023-07-13,Shoes,Desktop,At Risk,2024-02-23,2023-10-23,3,263.9,83.71000000000001,263.9,0,3,46.75,87.96666666666665,678,263.9,0.0,0.15049090616449382,1,0,1.2134551495016612,678,3,263.9,1,2,3,123,Hibernating,67,High risk
CUS-00002,25-34,Female,Poland,Returning,Google Search,2025-01-02,Dresses,Desktop,Loyal Customers,2025-10-18,2025-03-31,4,354.85,125.87,275.85,1,4,35.35,88.7125,75,354.85,0.25,0.09059456688877499,1,0,4.013736263736264,75,4,354.85,4,3,3,433,Potential Loyalists,20,Low risk
CUS-00003,55+,Female,Germany,Returning,Email,2023-10-31,Dresses,Mobile,At Risk,2025-04-18,2024-02-06,6,480.15999999999997,139.61,402.51,1,6,100.69,80.02666666666666,258,480.15999999999997,0.16666666666666666,0.17334940173883104,1,0,2.763556116015132,258,6,480.15999999999997,2,4,4,244,At Risk,65,High risk
CUS-00004,35-44,Male,Germany,Returning,TikTok Ads,2024-12-10,Accessories,Mobile,Potential Loyalists,2025-11-16,2025-09-30,2,83.91,42.08,83.91,0,2,13.92,41.955,46,83.91,0.0,0.14228764182766024,1,0,1.8875968992248062,46,2,83.91,5,1,1,511,Potential Loyalists,15,Low risk
CUS-00005,35-44,Male,Netherlands,Returning,Email,2024-12-24,Dresses,Mobile,High-Value Customers,2025-12-15,2025-08-24,3,229.12,101.05,229.12,0,3,3.75,76.37333333333333,17,229.12,0.0,0.016103405333447847,1,0,2.937667560321716,17,3,229.12,5,2,2,522,Potential Loyalists,5,Low risk
CUS-00006,35-44,Female,Germany,Returning,Affiliate,2025-05-24,Sportswear,Mobile,Potential Loyalists,2025-09-15,2025-06-12,3,253.33,102.36,253.33,0,3,18.310000000000002,84.44333333333334,108,253.33,0.0,0.06740538948608453,1,0,4.9358108108108105,108,3,253.33,3,2,3,323,Potential Loyalists,18,Low risk
CUS-00007,18-24,Female,Netherlands,Returning,Google Search,2024-05-23,Shoes,Desktop,At Risk,2024-12-14,2024-08-19,4,268.6,87.17,268.6,0,4,55.61,67.15,383,268.6,0.0,0.17152462909842384,1,0,2.4846938775510203,383,4,268.6,2,3,3,233,At Risk,57,Medium risk
CUS-00008,45-54,Female,Spain,Returning,TikTok Ads,2025-01-03,Bags,Mobile,Champions,2025-11-13,2025-02-19,13,1841.77,792.91,1772.36,1,13,104.00999999999999,141.67461538461538,49,1841.77,0.07692307692307693,0.05345414178375767,1,1,13.080578512396695,49,13,1841.77,5,5,5,555,High-Value Customers,5,Low risk
CUS-00009,25-34,Female,Germany,Returning,Meta Ads,2023-07-21,Shoes,Mobile,Potential Loyalists,2025-10-12,2024-09-01,6,322.73,115.71000000000001,269.4,1,6,43.45,53.788333333333334,81,322.73,0.16666666666666666,0.11865749085149381,1,0,2.4486033519553074,81,6,322.73,4,4,3,443,Loyal Customers,13,Low risk
CUS-00010,18-24,Female,France,Returning,Email,2023-09-19,Jeans,Desktop,Discount Seekers,2025-11-05,2024-02-17,18,1551.09,281.92,1354.52,2,18,521.88,86.17166666666667,57,1551.09,0.1111111111111111,0.2517547287225575,1,1,7.8736526946107785,57,18,1551.09,4,5,5,455,High-Value Customers,13,Low risk
CUS-00011,35-44,Female,Poland,Returning,Meta Ads,2023-03-03,Shoes,Mobile,At Risk,2024-07-19,2023-08-29,4,276.54,111.18,162.15,1,4,27.35,69.135,531,276.54,0.25,0.08999967093356148,1,0,1.4115942028985506,531,4,276.54,1,3,3,133,At Risk,82,High risk
CUS-00012,18-24,Male,UK,New,Google Search,2025-06-01,Beauty,Mobile,New Customers,2025-06-15,2025-06-15,1,28.04,15.4,28.04,0,1,2.06,28.04,200,28.04,0.0,0.06843853820598007,0,0,1.7067757009345796,200,1,28.04,2,1,1,211,Hibernating,54,Medium risk
CUS-00013,45-54,Male,Netherlands,Returning,Organic Search,2023-12-11,Sportswear,Mobile,Discount Seekers,2025-10-05,2024-08-18,7,459.38,104.19,413.15999999999997,1,7,149.52,65.62571428571428,88,459.38,0.14285714285714285,0.24555756281819677,1,0,3.3999335106382977,88,7,459.38,3,4,4,344,Discount Seekers,21,Low risk
CUS-00014,25-34,Female,Italy,Returning,Google Search,2023-07-21,Dresses,Mobile,Discount Seekers,2025-10-19,2024-10-05,9,451.18,131.91,404.56,1,9,129.52,50.13111111111111,74,451.18,0.1111111111111111,0.22304115722403994,1,0,3.6729050279329614,74,9,451.18,4,5,4,454,Champions,13,Low risk
