campaign_id,campaign_name,channel,campaign_objective,start_date,end_date,spend,impressions,clicks,target_audience,country,device_type,conversions,revenue_attributed,roi,roas,ctr,cpc,cpa,conversion_rate,revenue_per_click,campaign_profit,budget_efficiency_score
CMP-020,Display Ads | Beauty Boost | 020,Display Ads,Awareness and remarketing,2024-04-18,2024-06-19,72249.3,15672422,138528,New shoppers,Germany,Desktop,198,16675.17,-0.7691995631791588,0.23080043682084114,0.008838965668484425,0.521550155925156,364.8954545454546,0.0014293139293139294,0.1203740038115038,-55574.130000000005,10.8
CMP-031,Meta Ads | Summer Sale | 031,Meta Ads,Prospecting and retargeting,2024-11-15,2025-01-20,70263.51,2396955,87324,Young fashion buyers,Germany,Desktop,327,27896.63,-0.6029713004659174,0.39702869953408254,0.03643122211305594,0.8046299986258073,214.87311926605503,0.0037446750034354818,0.31946120196051486,-42366.87999999999,15.0
CMP-097,Display Ads | Holiday Drop | 097,Display Ads,Awareness and remarketing,2025-04-01,2025-06-21,64693.46,8284820,124963,New shoppers,Poland,Mobile,173,15215.2,-0.7648108479589745,0.2351891520410255,0.015083369342967017,0.5177009194721638,373.9506358381503,0.0013844097852964477,0.12175764026151742,-49478.259999999995,10.5
CMP-008,Google Search | Back to Work | 008,Google Search,High-intent acquisition,2024-07-11,2024-08-02,63052.28,1202222,57153,VIP customers,France,Tablet,82,7372.45,-0.8830740141355714,0.11692598586442869,0.047539472742970934,1.103219078613546,768.930243902439,0.0014347453327034452,0.12899497839133553,-55679.83,0.0
CMP-061,Display Ads | Back to Work | 061,Display Ads,Awareness and remarketing,2024-08-04,2024-09-27,63043.15,7102343,83892,Discount-sensitive customers,Netherlands,Mobile,205,16578.78,-0.7370248789916113,0.26297512100838866,0.011811876728566897,0.7514798788919087,307.5275609756098,0.00244361798502837,0.19762051208696896,-46464.37,12.3
CMP-051,Display Ads | Back to Work | 051,Display Ads,Awareness and remarketing,2025-01-20,2025-03-31,56285.12,7425129,99032,Discount-sensitive customers,France,Mobile,333,28773.7,-0.48878673439800785,0.5112132656019921,0.013337411376960588,0.5683528556426206,169.0243843843844,0.0033625494789562968,0.2905495193472817,-27511.420000000002,16.5
CMP-026,Meta Ads | Spring Edit | 026,Meta Ads,Prospecting and retargeting,2024-05-28,2024-07-05,56273.96,1993373,61905,Premium shoppers,Germany,Desktop,193,16134.86,-0.7132801743470693,0.2867198256529308,0.031055402074774766,0.9090373960100153,291.57492227979276,0.003117680316614167,0.2606390436959858,-40139.1,12.8
CMP-111,TikTok Ads | Beauty Boost | 111,TikTok Ads,New customer acquisition,2025-03-07,2025-04-10,51544.16,4322056,74185,New shoppers,Poland,Mobile,152,12164.79,-0.7639928558346862,0.2360071441653138,0.01716428477557903,0.694805688481499,339.1063157894737,0.0020489317247421985,0.16397910628833323,-39379.37,11.5
CMP-057,Display Ads | Premium Basics | 057,Display Ads,Awareness and remarketing,2025-08-23,2025-11-21,51134.29,7433578,110651,VIP customers,UK,Mobile,205,17843.05,-0.6510550943408034,0.34894490565919656,0.01488529480688842,0.4621222582715023,249.43556097560975,0.0018526719143975201,0.16125520781556424,-33291.240000000005,14.0
CMP-028,Display Ads | Beauty Boost | 028,Display Ads,Awareness and remarketing,2025-04-27,2025-05-27,50019.81,5831567,88514,VIP customers,Italy,Mobile,329,27633.71,-0.447544682796676,0.5524553172033241,0.015178424598396967,0.5651061978895994,152.03589665653496,0.0037169261359784895,0.312195923808663,-22386.1,17.0
CMP-101,Display Ads | Spring Edit | 101,Display Ads,Awareness and remarketing,2025-09-29,2025-11-02,49232.69,8407670,100046,VIP customers,Poland,Desktop,92,7385.29,-0.8499921495250412,0.1500078504749588,0.011899372834566532,0.492100533754473,535.1379347826087,0.0009195769945824921,0.0738189432860884,-41847.4,6.2
CMP-052,Display Ads | Beauty Boost | 052,Display Ads,Awareness and remarketing,2024-12-09,2025-01-24,48713.4,5772079,70406,Discount-sensitive customers,France,Desktop,99,8279.75,-0.8300313671392265,0.1699686328607734,0.012197684751022985,0.6918927364145101,492.05454545454546,0.0014061301593614182,0.11760006249467375,-40433.65,7.3
CMP-064,Google Search | VIP Retention | 064,Google Search,High-intent acquisition,2024-04-21,2024-06-30,47787.18,959120,47956,Young fashion buyers,Netherlands,Desktop,195,15827.82,-0.6687852264979854,0.33121477350201456,0.05,0.9964796897155727,245.06246153846155,0.004066227375093836,0.3300487947285011,-31959.36,14.1
CMP-116,TikTok Ads | Back to Work | 116,TikTok Ads,New customer acquisition,2025-10-07,2025-11-28,47699.51,1699949,77611,Premium shoppers,UK,Desktop,217,18286.87,-0.6166235250634651,0.38337647493653493,0.045654899058736466,0.6145972864671245,219.81341013824886,0.00279599541302135,0.23562214119132596,-29412.640000000003,14.9
CMP-079,Display Ads | Back to Work | 079,Display Ads,Awareness and remarketing,2025-05-24,2025-07-19,44246.46,9623941,68678,New shoppers,UK,Mobile,128,10275.05,-0.7677769023781791,0.23222309762182103,0.007136161786527993,0.644259588223303,345.67546875,0.0018637700573691722,0.1496119572497743,-33971.41,11.3
