order_month,revenue,profit,orders
2023-01,358.49,112.97,7
2023-02,1933.46,609.8100000000001,19
2023-03,3855.98,1224.42,50
2023-04,5595.75,1827.65,77
2023-05,7502.11,2444.88,98
2023-06,12587.52,4113.31,162
2023-07,16247.26,5276.95,194
2023-08,20776.29,7291.8,270
2023-09,24505.58,8390.47,307
2023-10,30461.82,10605.49,371
2023-11,32004.64,11064.48,396
2023-12,38386.99,13594.56,485
2024-01,47078.28,16099.02,563
2024-02,49664.53,17350.84,596
2024-03,64077.0,21884.31,739
2024-04,61334.16,21655.0,723
2024-05,73531.55,26045.79,858
2024-06,80679.69,28604.69,941
2024-07,95001.1,33345.48,1078
2024-08,99595.36,35536.57,1157
2024-09,110533.05,39811.05,1291
2024-10,132835.67,47508.16,1518
2024-11,132619.72,47863.44,1533
2024-12,160778.07,57736.91,1836
2025-01,162726.54,58363.34,1838
2025-02,161871.91,58545.37,1799
2025-03,189978.4,69129.75,2146
2025-04,220551.19,80196.07,2421
2025-05,239263.3,87091.45,2679
2025-06,256181.32,93776.12,2856
2025-07,305703.66,110652.39,3450
2025-08,343209.85,123681.46,3909
2025-09,362049.31,129252.29,4301
2025-10,378095.72,133867.91,4396
2025-11,276222.48,98053.72,3435
2025-12,114995.96,41347.14,1501
