customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment,churn_risk_score,churn_risk_label
CUS-00001,678,3,263.9,1,2,3,123,Hibernating,67,High risk
CUS-00002,75,4,354.85,4,3,3,433,Potential Loyalists,20,Low risk
CUS-00003,258,6,480.15999999999997,2,4,4,244,At Risk,65,High risk
CUS-00004,46,2,83.91,5,1,1,511,Potential Loyalists,15,Low risk
CUS-00005,17,3,229.12,5,2,2,522,Potential Loyalists,5,Low risk
CUS-00006,108,3,253.33,3,2,3,323,Potential Loyalists,18,Low risk
CUS-00007,383,4,268.6,2,3,3,233,At Risk,57,Medium risk
CUS-00008,49,13,1841.77,5,5,5,555,High-Value Customers,5,Low risk
CUS-00009,81,6,322.73,4,4,3,443,Loyal Customers,13,Low risk
CUS-00010,57,18,1551.09,4,5,5,455,High-Value Customers,13,Low risk
CUS-00011,531,4,276.54,1,3,3,133,At Risk,82,High risk
CUS-00012,200,1,28.04,2,1,1,211,Hibernating,54,Medium risk
CUS-00013,88,7,459.38,3,4,4,344,Discount Seekers,21,Low risk
CUS-00014,74,9,451.18,4,5,4,454,Champions,13,Low risk
CUS-00015,101,4,237.42,3,3,2,332,Potential Loyalists,18,Low risk
CUS-00016,65,2,293.78,4,1,3,413,Potential Loyalists,5,Low risk
CUS-00017,32,2,242.75,5,1,2,512,Potential Loyalists,5,Low risk
CUS-00018,496,2,236.86,1,1,2,112,Hibernating,67,High risk
CUS-00019,83,6,390.59,3,4,3,343,Loyal Customers,5,Low risk
CUS-00020,58,5,384.78999999999996,4,3,3,433,Potential Loyalists,20,Low risk
CUS-00021,20,10,645.83,5,5,4,554,Champions,21,Low risk
CUS-00022,66,5,383.59999999999997,4,3,3,433,Potential Loyalists,21,Low risk
CUS-00023,35,6,544.57,5,4,4,544,Champions,13,Low risk
CUS-00024,74,10,1490.6299999999999,4,5,5,455,High-Value Customers,13,Low risk
CUS-00025,701,1,80.95,1,1,1,111,Hibernating,85,High risk
CUS-00026,475,3,322.55,1,2,3,123,Hibernating,72,High risk
CUS-00027,399,1,82.19,2,1,1,211,Hibernating,77,High risk
