customer_id,age_group,gender,country,customer_type,acquisition_channel,signup_date,product_category_preference,device_type,latent_business_profile
CUS-00001,25-34,Female,Germany,Returning,Meta Ads,2023-07-13,Shoes,Desktop,At Risk
CUS-00002,25-34,Female,Poland,Returning,Google Search,2025-01-02,Dresses,Desktop,Loyal Customers
CUS-00003,55+,Female,Germany,Returning,Email,2023-10-31,Dresses,Mobile,At Risk
CUS-00004,35-44,Male,Germany,Returning,TikTok Ads,2024-12-10,Accessories,Mobile,Potential Loyalists
CUS-00005,35-44,Male,Netherlands,Returning,Email,2024-12-24,Dresses,Mobile,High-Value Customers
CUS-00006,35-44,Female,Germany,Returning,Affiliate,2025-05-24,Sportswear,Mobile,Potential Loyalists
CUS-00007,18-24,Female,Netherlands,Returning,Google Search,2024-05-23,Shoes,Desktop,At Risk
CUS-00008,45-54,Female,Spain,Returning,TikTok Ads,2025-01-03,Bags,Mobile,Champions
CUS-00009,25-34,Female,Germany,Returning,Meta Ads,2023-07-21,Shoes,Mobile,Potential Loyalists
CUS-00010,18-24,Female,France,Returning,Email,2023-09-19,Jeans,Desktop,Discount Seekers
CUS-00011,35-44,Female,Poland,Returning,Meta Ads,2023-03-03,Shoes,Mobile,At Risk
CUS-00012,18-24,Male,UK,New,Google Search,2025-06-01,Beauty,Mobile,New Customers
CUS-00013,45-54,Male,Netherlands,Returning,Organic Search,2023-12-11,Sportswear,Mobile,Discount Seekers
CUS-00014,25-34,Female,Italy,Returning,Google Search,2023-07-21,Dresses,Mobile,Discount Seekers
CUS-00015,18-24,Female,Germany,Returning,TikTok Ads,2024-05-10,Beauty,Mobile,Potential Loyalists
CUS-00016,25-34,Male,Germany,New,Google Search,2025-08-07,Beauty,Desktop,New Customers
CUS-00017,25-34,Female,Germany,New,TikTok Ads,2025-07-12,Sportswear,Mobile,New Customers
CUS-00018,45-54,Male,Germany,Returning,Organic Search,2024-08-12,Bags,Desktop,At Risk
CUS-00019,18-24,Male,Spain,Returning,Organic Search,2024-05-11,Accessories,Mobile,Potential Loyalists
CUS-00020,25-34,Male,Poland,Returning,Email,2023-10-03,Jeans,Mobile,Loyal Customers
CUS-00021,35-44,Male,Germany,Returning,Meta Ads,2025-04-21,Dresses,Tablet,Discount Seekers
CUS-00022,25-34,Female,UK,Returning,Google Search,2024-03-23,Shoes,Desktop,Discount Seekers
