order_id,customer_id,order_date,product_category,revenue,cost,profit,discount_amount,quantity,return_flag,campaign_id,channel,device_type,country
ORD-000001,CUS-00001,2023-10-23,Shoes,57.66,42.93,14.72,16.36,1,0,CMP-085,Email,Desktop,Germany
ORD-000002,CUS-00001,2023-10-29,Shoes,67.23,48.55,18.67,16.48,1,0,CMP-090,Organic Search,Desktop,Germany
ORD-000003,CUS-00001,2024-02-23,Shoes,139.01,88.7,50.32,13.91,2,0,CMP-076,Email,Desktop,Germany
ORD-000004,CUS-00002,2025-03-31,Dresses,80.03,46.72,33.32,4.91,1,0,CMP-046,Affiliate,Desktop,Poland
ORD-000005,CUS-00002,2025-07-04,Jackets,115.95,76.93,39.02,12.27,1,0,CMP-077,Organic Search,Desktop,Poland
ORD-000006,CUS-00002,2025-08-15,Jackets,79.87,53.37,26.5,9.08,1,0,CMP-085,Email,Desktop,Poland
ORD-000007,CUS-00002,2025-10-18,Dresses,79.0,48.45,27.03,9.09,1,1,CMP-077,Organic Search,Desktop,Poland
ORD-000008,CUS-00003,2024-02-06,Dresses,43.26,31.49,11.78,13.99,1,0,CMP-022,Email,Mobile,Germany
ORD-000009,CUS-00003,2024-02-17,Jackets,203.7,143.53,60.17,35.51,2,0,CMP-016,Organic Search,Mobile,Germany
ORD-000010,CUS-00003,2024-05-25,Dresses,77.65,48.27,23.95,10.11,1,1,CMP-022,Email,Mobile,Germany
ORD-000011,CUS-00003,2024-06-18,Dresses,48.87,35.7,13.17,16.04,1,0,CMP-025,Meta Ads,Mobile,Germany
ORD-000012,CUS-00003,2024-12-01,Jeans,45.46,32.71,12.75,7.3,1,0,CMP-083,Email,Mobile,Germany
ORD-000013,CUS-00003,2025-04-18,Dresses,61.22,43.43,17.79,17.74,1,0,CMP-073,Organic Search,Mobile,Germany
ORD-000014,CUS-00004,2025-09-30,Beauty,61.37,30.71,30.66,11.74,2,0,CMP-048,Affiliate,Mobile,Germany
ORD-000015,CUS-00004,2025-11-16,Accessories,22.54,11.12,11.42,2.18,1,0,CMP-016,Organic Search,Mobile,Germany
ORD-000016,CUS-00005,2025-08-24,Dresses,43.46,24.24,19.22,0.62,1,0,CMP-041,Organic Search,Mobile,Netherlands
ORD-000017,CUS-00005,2025-11-26,Dresses,115.14,63.69,51.45,0.66,2,0,CMP-081,Google Search,Mobile,Netherlands
ORD-000018,CUS-00005,2025-12-15,Dresses,70.52,40.14,30.38,2.47,1,0,CMP-081,Google Search,Mobile,Netherlands
ORD-000019,CUS-00006,2025-06-12,Sportswear,122.92,74.04,48.87,6.98,2,0,CMP-054,Google Search,Mobile,Germany
ORD-000020,CUS-00006,2025-08-30,Beauty,29.35,13.89,15.46,3.72,1,0,CMP-042,Google Search,Mobile,Germany
ORD-000021,CUS-00006,2025-09-15,Shoes,101.06,63.03,38.03,7.61,1,0,CMP-016,Organic Search,Mobile,Germany
ORD-000022,CUS-00007,2024-08-19,Bags,105.61,69.97,35.64,26.41,1,0,CMP-115,Email,Desktop,Netherlands
ORD-000023,CUS-00007,2024-08-26,Shoes,67.0,41.38,25.62,4.35,1,0,CMP-044,Email,Desktop,Netherlands
ORD-000024,CUS-00007,2024-12-05,Shoes,47.33,32.92,14.41,9.44,1,0,CMP-115,Email,Desktop,Netherlands
ORD-000025,CUS-00007,2024-12-14,Shoes,48.66,37.16,11.5,15.41,1,0,CMP-041,Organic Search,Desktop,Netherlands
ORD-000026,CUS-00008,2025-02-19,Bags,154.39,90.23,64.16,15.86,2,0,CMP-037,Organic Search,Mobile,Spain
ORD-000027,CUS-00008,2025-03-29,Bags,173.97,93.61,80.36,2.66,2,0,CMP-045,Meta Ads,Mobile,Spain
ORD-000028,CUS-00008,2025-05-23,Sportswear,186.89,108.39,78.5,3.27,2,0,CMP-034,Email,Mobile,Spain
ORD-000029,CUS-00008,2025-06-15,Bags,72.82,41.24,31.57,5.0,1,0,CMP-098,Email,Mobile,Spain
ORD-000030,CUS-00008,2025-08-17,Bags,174.36,100.23,74.13,14.76,2,0,CMP-066,Google Search,Mobile,Spain
ORD-000031,CUS-00008,2025-08-20,Bags,203.67,111.7,91.97,7.09,2,0,CMP-098,Email,Mobile,Spain
ORD-000032,CUS-00008,2025-08-22,Dresses,87.76,48.94,38.82,1.23,1,0,CMP-043,Affiliate,Mobile,Spain
ORD-000033,CUS-00008,2025-09-15,Bags,84.49,48.5,35.99,7.02,1,0,CMP-085,Email,Mobile,Spain
ORD-000034,CUS-00008,2025-09-17,Dresses,69.41,39.82,22.81,3.0,1,1,CMP-066,Google Search,Mobile,Spain
ORD-000035,CUS-00008,2025-09-28,Bags,154.76,88.38,66.38,11.99,2,0,CMP-031,Meta Ads,Mobile,Spain
ORD-000036,CUS-00008,2025-10-17,Bags,106.13,57.27,48.86,1.92,1,0,CMP-037,Organic Search,Mobile,Spain
ORD-000037,CUS-00008,2025-10-19,Bags,115.47,61.63,53.85,0.8,1,0,CMP-034,Email,Mobile,Spain
ORD-000038,CUS-00008,2025-11-13,Bags,257.65,152.14,105.51,29.41,2,0,CMP-098,Email,Mobile,Spain
ORD-000039,CUS-00009,2024-09-01,Shoes,53.33,38.43,6.99,12.93,1,1,CMP-109,TikTok Ads,Mobile,Germany
ORD-000040,CUS-00009,2024-09-13,Bags,69.58,42.27,27.31,10.18,1,0,CMP-054,Google Search,Mobile,Germany
ORD-000041,CUS-00009,2025-01-23,Accessories,34.01,18.34,15.67,6.75,1,0,CMP-042,Google Search,Mobile,Germany
ORD-000042,CUS-00009,2025-03-14,Sportswear,40.87,25.19,15.69,3.31,1,0,CMP-073,Organic Search,Mobile,Germany
ORD-000043,CUS-00009,2025-06-26,Accessories,24.32,12.23,12.09,2.87,1,0,CMP-054,Google Search,Mobile,Germany
ORD-000044,CUS-00009,2025-10-12,Shoes,100.62,62.66,37.96,7.41,1,0,CMP-045,Meta Ads,Mobile,Germany
ORD-000045,CUS-00010,2024-02-17,Jeans,168.85,159.94,8.91,89.11,3,0,CMP-104,TikTok Ads,Desktop,France
ORD-000046,CUS-00010,2024-03-25,Jeans,46.47,44.93,1.53,26.01,1,0,CMP-034,Email,Desktop,France
ORD-000047,CUS-00010,2024-05-02,Accessories,45.82,25.33,20.49,10.46,1,0,CMP-104,TikTok Ads,Desktop,France
ORD-000048,CUS-00010,2024-06-29,Jeans,51.34,38.11,13.23,10.12,1,0,CMP-034,Email,Desktop,France
ORD-000049,CUS-00010,2024-10-04,Jeans,116.05,97.37,18.68,41.0,2,0,CMP-034,Email,Desktop,France
ORD-000050,CUS-00010,2024-11-10,Bags,79.75,51.98,27.77,18.32,1,0,CMP-114,Google Search,Desktop,France
ORD-000051,CUS-00010,2024-12-16,Jeans,37.78,31.76,6.02,13.45,1,0,CMP-114,Google Search,Desktop,France
ORD-000052,CUS-00010,2025-02-12,Jeans,113.17,92.57,20.59,36.15,2,0,CMP-114,Google Search,Desktop,France
ORD-000053,CUS-00010,2025-04-14,Shoes,95.58,70.49,25.09,25.96,1,0,CMP-065,Affiliate,Desktop,France
ORD-000054,CUS-00010,2025-06-01,Jeans,157.95,118.36,37.06,32.95,2,1,CMP-065,Affiliate,Desktop,France
ORD-000055,CUS-00010,2025-06-01,Jeans,43.99,32.53,11.46,8.48,1,0,CMP-034,Email,Desktop,France
ORD-000056,CUS-00010,2025-06-05,Jeans,143.99,112.09,31.9,36.8,2,0,CMP-050,Meta Ads,Desktop,France
ORD-000057,CUS-00010,2025-06-18,Jeans,57.04,43.36,13.68,12.89,1,0,CMP-030,Affiliate,Desktop,France
ORD-000058,CUS-00010,2025-06-18,Sportswear,38.62,32.51,-1.38,18.41,1,1,CMP-086,Meta Ads,Desktop,France
ORD-000059,CUS-00010,2025-07-10,Jeans,102.52,86.75,15.77,37.4,2,0,CMP-047,Organic Search,Desktop,France
ORD-000060,CUS-00010,2025-08-20,Jeans,65.68,48.87,16.81,13.15,1,0,CMP-039,TikTok Ads,Desktop,France
ORD-000061,CUS-00010,2025-08-24,Jeans,58.58,54.79,3.79,29.8,1,0,CMP-034,Email,Desktop,France
ORD-000062,CUS-00010,2025-11-05,Jeans,127.91,117.38,10.52,61.42,2,0,CMP-050,Meta Ads,Desktop,France
ORD-000063,CUS-00011,2023-08-29,Accessories,67.62,33.05,34.57,5.83,2,0,CMP-077,Organic Search,Mobile,Poland
ORD-000064,CUS-00011,2024-01-07,Shoes,114.39,72.1,38.13,9.91,1,1,CMP-032,Google Search,Mobile,Poland
ORD-000065,CUS-00011,2024-01-23,Shoes,57.6,36.99,20.61,6.18,1,0,CMP-098,Email,Mobile,Poland
ORD-000066,CUS-00011,2024-07-19,Accessories,36.93,19.06,17.87,5.43,1,0,CMP-038,TikTok Ads,Mobile,Poland
ORD-000067,CUS-00012,2025-06-15,Beauty,28.04,12.64,15.4,2.06,1,0,CMP-093,Meta Ads,Mobile,UK
ORD-000068,CUS-00013,2024-08-18,Sportswear,39.6,31.81,7.79,16.21,1,0,CMP-093,Meta Ads,Mobile,Netherlands
ORD-000069,CUS-00013,2024-10-19,Sportswear,42.71,28.57,14.14,7.41,1,0,CMP-041,Organic Search,Mobile,Netherlands
ORD-000070,CUS-00013,2024-10-26,Sportswear,109.89,76.01,33.88,23.46,2,0,CMP-044,Email,Mobile,Netherlands
ORD-000071,CUS-00013,2025-04-10,Sportswear,39.64,31.07,8.57,14.86,1,0,CMP-004,Affiliate,Mobile,Netherlands
ORD-000072,CUS-00013,2025-05-14,Jeans,46.22,36.77,4.3,13.09,1,1,CMP-031,Meta Ads,Mobile,Netherlands
